201308203-T-16-56-35_089
x,y,label
1081,1298,0
1098,1374,0
246,1369,1
353,1400,1
1099,263,0
1115,291,0
1970,1287,0
1877,1071,0
1096,1365,0
261,1373,1
276,1377,1
291,1382,1
306,1386,1
321,1390,1
336,1395,1
351,1399,1
1114,289,0
1892,1105,0
1907,1140,0
1922,1175,0
1937,1210,0
1952,1245,0
1967,1280,0
1096,1365,0
261,1373,1
276,1377,1
291,1382,1
306,1386,1
321,1390,1
336,1395,1
351,1399,1
1114,289,0
1892,1105,0
1907,1140,0
1922,1175,0
1937,1210,0
1952,1245,0
1967,1280,0
276,1372,0
291,1372,0
306,1372,0
321,1372,0
336,1372,0
351,1372,0
366,1371,0
381,1371,0
396,1371,0
411,1371,0
426,1371,0
441,1371,0
456,1371,0
471,1370,0
486,1370,0
501,1370,0
516,1370,0
531,1370,0
546,1370,0
561,1370,0
576,1369,0
591,1369,0
606,1369,0
621,1369,0
636,1369,0
651,1369,0
666,1369,0
681,1368,0
696,1368,0
711,1368,0
726,1368,0
741,1368,0
756,1368,0
771,1368,0
786,1367,0
801,1367,0
816,1367,0
831,1367,0
846,1367,0
861,1367,0
876,1367,0
891,1366,0
906,1366,0
921,1366,0
936,1366,0
951,1366,0
966,1366,0
981,1366,0
996,1365,0
1011,1365,0
1026,1365,0
1041,1365,0
1056,1365,0
1071,1365,0
1086,1365,0
1129,304,0
1144,320,0
1159,336,0
1174,351,0
1189,367,0
1204,383,0
1219,399,0
1234,414,0
1249,430,0
1264,446,0
1279,462,0
1294,477,0
1309,493,0
1324,509,0
1339,524,0
1354,540,0
1369,556,0
1384,572,0
1399,587,0
1414,603,0
1429,619,0
1444,635,0
1459,650,0
1474,666,0
1489,682,0
1504,698,0
1519,713,0
1534,729,0
1549,745,0
1564,760,0
1579,776,0
1594,792,0
1609,808,0
1624,823,0
1639,839,0
1654,855,0
1669,871,0
1684,886,0
1699,902,0
1714,918,0
1729,934,0
1744,949,0
1759,965,0
1774,981,0
1789,996,0
1804,1012,0
1819,1028,0
1834,1044,0
1849,1059,0
1864,1075,0
1879,1091,0
