201308203-T-16-19-50_015.jpg
x,y,label
256,16,3
30,79,5
151,550,3
137,409,3
262,628,5
66,756,5
356,1063,5
38,919,5
139,1382,5
151,1368,5
805,214,2
609,112,5
577,443,5
752,595,5
638,801,5
727,891,5
429,1033,5
478,1221,5
516,1299,2
805,1392,2
1190,73,2
1214,219,5
1162,539,5
847,360,5
1109,664,3
1022,799,5
862,935,5
1010,1050,3
997,1273,2
1190,1488,5
1295,279,5
1355,88,5
1312,348,5
1463,562,5
1392,661,5
1446,778,5
1391,1139,5
1313,1036,5
1617,1251,3
1498,1475,5
1810,156,3
1870,264,3
2001,515,5
1880,542,3
2006,834,2
1956,827,2
1882,1172,5
1996,970,2
1765,1401,3
1684,1489,2
